
2024/03/21 (11:49:42) | ===> btop++ v.1.3.2
2024/03/21 (11:49:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/27 (23:14:42) | ===> btop++ v.1.3.2
2024/03/27 (23:14:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/29 (13:03:35) | ===> btop++ v.1.3.2
2024/03/29 (13:03:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/01 (10:56:54) | ===> btop++ v.1.3.2
2024/04/01 (10:56:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:11:34) | ===> btop++ v.1.3.2
2024/04/10 (14:11:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:19:26) | ===> btop++ v.1.3.2
2024/04/10 (14:19:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:19:31) | ===> btop++ v.1.3.2
2024/04/10 (14:19:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:20:21) | ===> btop++ v.1.3.2
2024/04/10 (14:20:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:43:32) | ===> btop++ v.1.3.2
2024/04/10 (14:43:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (14:44:34) | ===> btop++ v.1.3.2
2024/04/10 (14:44:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/12 (01:56:01) | ===> btop++ v.1.3.2
2024/04/12 (01:56:01) | WARNING: Failed to set locale UTF-8 continuing anyway.
